OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00106100,ALASKA PACIFIC UNIVERSITY,AK,995084672,PRIVATE,29,32,321064,52,296421
00106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,997757500,PUBLIC,36,39,235941,65,226186
00106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,998018680,PUBLIC,10,10,85536,18,79371
01146200,UNIVERSITY OF ALASKA ANCHORAGE,AK,995088050,PUBLIC,92,95,604812,165,568442
02541000,CAREER ACADEMY,AK,995071033,PROPRIETARY,3,3,35424,7,35424
02576900,CHARTER COLLEGE,AK,995084103,PROPRIETARY,0,0,0,0,0
03160300,ALASKA VOCATIONAL TECHNICAL CENTER,AK,996640889,PUBLIC,0,0,0,0,0
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,PUBLIC,353,390,3096549,657,2815997
00100300,FAULKNER UNIVERSITY,AL,361093398,PRIVATE,124,134,960895,221,880832
00100400,UNIVERSITY OF MONTEVALLO,AL,351156000,PUBLIC,72,86,442173,142,429697
00100500,ALABAMA STATE UNIVERSITY,AL,361045714,PUBLIC,371,428,2591099,766,2426320
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350110000,PUBLIC,5,5,13012,9,11654
00100800,ATHENS STATE UNIVERSITY,AL,356111999,PUBLIC,0,0,0,0,0
00100900,AUBURN UNIVERSITY,AL,368495113,PUBLIC,1238,1506,17453975,2504,16458347
00101200,BIRMINGHAM SOUTHERN COLLEGE,AL,352540002,PRIVATE,151,173,2172622,314,2059340
00101300,JOHN C CALHOUN STATE COMMUNITY COLLEGE,AL,356092216,PUBLIC,22,22,93569,33,62369
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,PUBLIC,5,6,26077,14,26077
00101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,PUBLIC,113,125,625580,207,589445
00101700,GADSDEN STATE COMMUNITY COLLEGE,AL,359032269,PUBLIC,0,0,0,0,0
00101900,HUNTINGDON COLLEGE,AL,361062148,PRIVATE,159,162,1413010,300,1280814
00102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,PUBLIC,306,325,1924291,543,1787909
00102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,PUBLIC,0,0,0,0,0
00102300,JUDSON COLLEGE,AL,367562504,PRIVATE,27,31,210963,55,198963
00102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,PUBLIC,92,98,608230,158,553687
00102600,MARION MILITARY INSTITUTE,AL,367563214,PUBLIC,14,14,77593,20,77593
00102800,MILES COLLEGE,AL,350642697,PRIVATE,0,0,0,0,0
00102900,UNIVERSITY OF MOBILE,AL,366630220,PRIVATE,110,124,952930,239,917589
