OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,1220,1336,13919725,2528,13919725,
00100300,Faulkner University,AL,361093398,Private-Nonprofit,246,277,2203308,542,2203308,
00100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,236,290,2524430,540,2524430,
00100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,1107,1330,12045554,2558,12045554,
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,6,6,37452,12,37452,
00100800,Athens State University,AL,356111999,Public,23,23,142903,36,142903,
00100900,Auburn University,AL,368495113,Public,1629,1956,39312449,3357,39312449,
00101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,164,177,2719138,321,2719138,
00101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,17,17,59640,30,59640,
00101500,Enterprise State Community College,AL,363311300,Public,2,2,6248,3,6248,
00101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,496,533,4610987,1009,4610987,
00101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,216,218,2306898,404,2306898,
00102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,Public,386,423,3430461,717,3430461,
00102200,Jefferson State Community College,AL,352153098,Public,0,0,0,0,0,
00102300,JUDSON COLLEGE,AL,367562504,Private-Nonprofit,57,68,516143,110,516143,
00102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,Public,412,474,4388860,789,4388860,
00102600,Marion Military Institute,AL,367563214,Public,49,69,296235,107,296235,
00102800,MILES COLLEGE,AL,350642697,Private-Nonprofit,525,596,3928913,1112,3928913,
00102900,UNIVERSITY OF MOBILE,AL,366630220,Private-Nonprofit,187,207,2361997,407,2361997,
00103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,Public,0,0,0,0,0,
00103300,OAKWOOD UNIVERSITY,AL,358960001,Private-Nonprofit,334,346,4746655,665,4746655,
00103600,SAMFORD UNIVERSITY,AL,352297000,Private-Nonprofit,333,395,6792872,673,6792872,
00103800,SNEAD STATE COMMUNITY COLLEGE,AL,359570734,Public,7,7,22504,10,22504,
00104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,362760000,Public,22,22,101816,40,101816,
00104100,SPRING HILL COLLEGE,AL,366081791,Private-Nonprofit,277,312,3910034,563,3910034,
00104400,Stillman College,AL,354011430,Private-Nonprofit,157,157,1075302,322,1075302,
00104600,Talladega College,AL,351602354,Private-Nonprofit,116,116,779931,223,779931,
00104700,TROY UNIVERSITY,AL,360820001,Public,714,822,7309095,1385,7309095,
00105000,TUSKEGEE UNIVERSITY,AL,360881645,Private-Nonprofit,784,1014,15288696,1975,15288696,
00105100,UNIVERSITY OF ALABAMA,AL,354870120,Public,3300,3893,84549220,6687,84549220,
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,352941150,Public,842,1075,11316108,1759,11316108,
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,358990001,Public,349,410,4011611,667,4011611,
00105700,UNIVERSITY OF SOUTH ALABAMA,AL,366880002,Public,1923,2147,23024709,3801,23024709,
00106000,COASTAL ALABAMA COMMUNITY COLLEGE,AL,365072698,Public,76,76,383094,145,383094,
00106100,ALASKA PACIFIC UNIVERSITY,AK,995084672,Private-Nonprofit,17,17,244692,34,244692,
00106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,997757500,Public,61,69,746132,120,746132,
00106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,998018680,Public,38,38,476346,68,476346,
00107100,ARIZONA WESTERN COLLEGE,AZ,853658847,Public,15,16,91800,42,91800,
00107200,Cochise College,AZ,856352317,Public,2,2,13500,4,13500,
00107400,Grand Canyon University,AZ,850173030,Proprietary,2259,2470,21800124,4872,21800124,
00107600,Glendale Community College,AZ,853023090,Public,0,0,0,0,0,
00107700,MESA COMMUNITY COLLEGE,AZ,852024866,Public,22,29,151295,52,151295,
00107800,PHOENIX COLLEGE,AZ,850134234,Public,2,2,14350,4,14350,
00107900,YAVAPAI COLLEGE,AZ,863013297,Public,8,11,114866,21,114866,
00108100,ARIZONA STATE UNIVERSITY,AZ,852870412,Public,6864,7894,122335625,13993,122335625,
00108200,NORTHERN ARIZONA UNIVERSITY,AZ,860110001,Public,3105,3235,46548072,5938,46548072,
00108300,UNIVERSITY OF ARIZONA (THE),AZ,857210066,Public,4160,4698,86026014,8705,86026014,
00108500,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,716560000,Public,66,79,376635,149,376635,
