OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,,
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,503,568,5738974,1087,5668174,,
00100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,183,203,1677925,357,1677925,,
00100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,137,161,1041806,298,1041806,,
00100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,597,745,5724621,1402,5724621,,
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,1,1,2500,1,2500,,
00100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,17,19,71291,32,71291,,
00100900,AUBURN UNIVERSITY,AL,368495113,Public,1371,1632,30121814,2732,30121814,,
00101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,118,122,1789463,235,1788865,,
00101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,16,16,65169,27,65169,,
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,3,3,16294,7,16293,,
00101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,213,228,1679861,420,1679861,,
00101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,140,141,1614258,265,1614258,,
00102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,Public,290,328,2289237,553,2286237,,
00102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,Public,0,0,0,0,0,,
00102300,JUDSON COLLEGE,AL,367562504,Private-Nonprofit,42,52,364200,102,356725,,
00102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,Public,175,183,1941331,315,1927394,,
00102600,MARION MILITARY INSTITUTE,AL,367563214,Public,17,17,123080,31,109654,,
00102800,MILES COLLEGE,AL,350642697,Private-Nonprofit,138,154,1020336,291,1020336,,
00102900,UNIVERSITY OF MOBILE,AL,366630220,Private-Nonprofit,133,140,1261625,288,1261625,,
00103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,Public,0,0,0,0,0,,
00103300,OAKWOOD UNIVERSITY,AL,358960001,Private-Nonprofit,178,193,2406642,381,2406642,,
00103600,SAMFORD UNIVERSITY,AL,352297000,Private-Nonprofit,374,439,6830446,764,6802189,,
00103800,SNEAD STATE COMMUNITY COLLEGE,AL,359570734,Public,6,6,29389,10,29389,,
00104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,362760000,Public,17,17,98599,34,98599,,
00104100,SPRING HILL COLLEGE,AL,366081791,Private-Nonprofit,178,200,2196181,381,2188681,,
00104400,STILLMAN COLLEGE,AL,354011430,Private-Nonprofit,100,100,867100,197,864810,,
00104600,TALLADEGA COLLEGE,AL,351602354,Private-Nonprofit,27,27,221503,55,221503,,
00104700,TROY UNIVERSITY,AL,360820001,Public,366,424,3556265,714,3556265,,
00105000,TUSKEGEE UNIVERSITY,AL,360881645,Private-Nonprofit,451,604,7684955,941,7615579,,
00105100,UNIVERSITY OF ALABAMA,AL,354870120,Public,2215,2593,49764090,4446,49716584,,
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,352941150,Public,473,550,5591149,949,5472093,,
