OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,,
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,571,622,6407648,1167,6327811,,
00100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,211,237,2024917,455,2024916,,
00100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,140,154,1268051,295,1268051,,
00100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,601,726,5993193,1393,5986753,,
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,0,0,0,0,0,,
00100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,18,19,87818,37,87818,,
00100900,AUBURN UNIVERSITY,AL,368495113,Public,1469,1739,33959530,2956,33957530,,
00101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,115,128,1773241,232,1773241,,
00101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,11,11,48019,20,48019,,
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,1,1,6957,2,6957,,
00101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,213,237,1797129,429,1797129,,
00101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,155,156,1807575,292,1806732,,
00102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,Public,296,331,2485422,571,2485422,,
00102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,Public,0,0,0,0,0,,
00102300,JUDSON COLLEGE,AL,367562504,Private-Nonprofit,42,53,449409,104,411235,,
00102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,Public,197,223,2134576,386,2134576,,
00102600,MARION MILITARY INSTITUTE,AL,367563214,Public,34,47,225162,76,171444,,
00102800,MILES COLLEGE,AL,350642697,Private-Nonprofit,207,230,1699678,451,1699678,,
00102900,UNIVERSITY OF MOBILE,AL,366630220,Private-Nonprofit,140,154,1429777,316,1429777,,
00103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,Public,0,0,0,0,0,,
00103300,OAKWOOD UNIVERSITY,AL,358960001,Private-Nonprofit,189,201,2358148,383,2358148,,
00103600,SAMFORD UNIVERSITY,AL,352297000,Private-Nonprofit,337,401,6480988,695,6461501,,
00103800,SNEAD STATE COMMUNITY COLLEGE,AL,359570734,Public,7,7,36100,14,36100,,
00104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,362760000,Public,19,21,76420,36,72420,,
00104100,SPRING HILL COLLEGE,AL,366081791,Private-Nonprofit,164,185,2145266,328,2140974,,
00104400,STILLMAN COLLEGE,AL,354011430,Private-Nonprofit,129,129,1100131,254,1100131,,
00104600,TALLADEGA COLLEGE,AL,351602354,Private-Nonprofit,59,59,484305,114,484205,,
00104700,TROY UNIVERSITY,AL,360820001,Public,392,451,3947378,855,3906677,,
00105000,TUSKEGEE UNIVERSITY,AL,360881645,Private-Nonprofit,505,654,9193987,1228,9183962,,
00105100,UNIVERSITY OF ALABAMA,AL,354870120,Public,2490,2895,57427276,4985,57281947,,
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,352941150,Public,563,655,6780692,1096,6681590,,
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,358990001,Public,178,222,1992271,349,1992271,,
00105700,UNIVERSITY OF SOUTH ALABAMA,AL,366880002,Public,1326,1404,14490521,2523,14477361,,
00106000,JAMES H. FAULKNER STATE COMMUNITY COLLEGE,AL,365072698,Public,42,42,191741,87,191741,,
00106100,ALASKA PACIFIC UNIVERSITY,AK,995084672,Private-Nonprofit,14,16,156245,30,147820,,
